date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:24:48	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:47%20GMT	https://francokees94.wixsite.com/2ea14c65.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/2ea14c65.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:48	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:48%20GMT	https://francokees94.wixsite.com/3bc2d49b.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/3bc2d49b.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:48	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:48%20GMT	https://francokees94.wixsite.com/2ad73389.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/2ad73389.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:49	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:48%20GMT	https://francokees94.wixsite.com/b70e763c.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/b70e763c.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:49	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:49%20GMT	https://francokees94.wixsite.com/faa86952.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/faa86952.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:49	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:49%20GMT	https://francokees94.wixsite.com/566bec70.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/566bec70.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:49	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:49%20GMT	https://francokees94.wixsite.com/fc40122e.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/fc40122e.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:50	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:49%20GMT	https://francokees94.wixsite.com/45242c23.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/45242c23.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:50	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:50%20GMT	https://francokees94.wixsite.com/0efca64c.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/0efca64c.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:50	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:50%20GMT	https://francokees94.wixsite.com/42ccdc69.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/42ccdc69.min.css	(from https://francokees94.wixsite.com/portfolio)
